pair,timestamp,score,gross_r,net_r,exit_reason
EUR/USD,2019-04-11T11:30:00+00:00,65.77,-1.0,-1.0354,stop_loss
USD/CAD,2019-04-11T12:30:00+00:00,66.77,-0.2057,-0.2264,time_exit
USD/JPY,2019-04-11T12:45:00+00:00,67.73,-1.0,-1.0461,stop_loss
AUD/USD,2019-04-11T15:30:00+00:00,65.41,0.195,0.1618,time_exit
EUR/USD,2019-04-11T17:30:00+00:00,67.02,1.5,1.4957,take_profit
USD/JPY,2019-04-11T18:30:00+00:00,68.82,0.2142,0.2069,time_exit
USD/CAD,2019-04-12T00:15:00+00:00,69.21,-1.0,-1.0635,stop_loss
USD/JPY,2019-04-12T00:15:00+00:00,73.22,1.5,1.4784,take_profit
USD/JPY,2019-04-12T03:45:00+00:00,76.0,1.1963,1.1797,time_exit
USD/JPY,2019-04-12T07:30:00+00:00,78.17,0.7558,0.7394,time_exit
GBP/USD,2019-04-12T07:45:00+00:00,68.33,-1.0,-1.1057,stop_loss
EUR/USD,2019-04-12T08:15:00+00:00,76.81,-0.1479,-0.1638,time_exit
GBP/USD,2019-04-12T08:15:00+00:00,66.98,-1.0,-1.09,stop_loss
USD/JPY,2019-04-12T13:00:00+00:00,80.78,0.3476,0.3393,time_exit
USD/JPY,2019-04-12T16:45:00+00:00,78.0,-0.1432,-0.1598,time_exit
EUR/USD,2019-04-12T17:30:00+00:00,70.31,1.1762,1.1359,time_exit
USD/JPY,2019-04-14T23:45:00+00:00,71.16,-1.0,-1.0307,stop_loss
USD/CHF,2019-04-15T00:00:00+00:00,65.35,-1.0,-1.1153,stop_loss
